group,phase,type,audio,vowel,match,same_onset,needs_match_onset,visual_target,correct,repetition,normed_midpoint,voiced_sel,voiceless_sel,match_sel,mismatch_sel,step,tone_step,path,code
p_group,test,BP_test,AHB_AHP_3_23,AH,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,23,NA,audio/syllables_BP/AHB_AHP_3_23.wav,121
p_group,test,BP_test,AHB_AHP_3_30,AH,NA,NA,NA,NA,NA,1,10,B,P,NA,NA,30,NA,audio/syllables_BP/AHB_AHP_3_30.wav,122
p_group,test,BP_test,IHB_IHP_5_0,IH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,0,NA,audio/syllables_BP/IHB_IHP_5_0.wav,123
p_group,test,BP_test,IHB_IHP_5_2,IH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,2,NA,audio/syllables_BP/IHB_IHP_5_2.wav,124
p_group,test,BP_test,IHB_IHP_5_4,IH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,4,NA,audio/syllables_BP/IHB_IHP_5_4.wav,125
p_group,test,BP_test,IHB_IHP_5_5,IH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,5,NA,audio/syllables_BP/IHB_IHP_5_5.wav,126
p_group,test,BP_test,IHB_IHP_5_6,IH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,6,NA,audio/syllables_BP/IHB_IHP_5_6.wav,127
p_group,test,BP_test,IHB_IHP_5_7,IH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,7,NA,audio/syllables_BP/IHB_IHP_5_7.wav,128
p_group,test,BP_test,IHB_IHP_5_9,IH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,9,NA,audio/syllables_BP/IHB_IHP_5_9.wav,129
p_group,test,BP_test,IHB_IHP_5_11,IH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,11,NA,audio/syllables_BP/IHB_IHP_5_11.wav,130
p_group,test,BP_test,IHB_IHP_5_15,IH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,15,NA,audio/syllables_BP/IHB_IHP_5_15.wav,131
p_group,test,BP_test,IHB_IHP_5_22,IH,NA,NA,NA,NA,NA,1,7,B,P,NA,NA,22,NA,audio/syllables_BP/IHB_IHP_5_22.wav,132
